age,balance,housing,loan,campaign
34,169,yes,no,1
35,-613,yes,no,1
47,1496,yes,no,2
40,580,yes,no,1
30,-306,yes,yes,1
27,-41,yes,no,1
40,783,yes,yes,2
26,241,yes,no,1
46,245,yes,no,10
43,-26,yes,no,1
36,705,yes,no,1
32,23,yes,no,1
47,380,yes,no,6
29,4574,yes,no,2
36,183,yes,no,1
33,272,yes,no,3
57,4168,yes,yes,1
30,677,yes,no,1
59,174,yes,no,1
32,1877,yes,no,1
56,3690,yes,yes,2
25,109,yes,no,1
30,194,yes,no,1
32,8,yes,no,1
30,40,yes,yes,2
45,-1400,yes,no,4
47,-656,yes,no,2
25,1400,yes,yes,1
28,507,yes,no,1
30,75,yes,no,1
28,364,yes,no,1
27,1742,yes,no,1
32,1197,yes,yes,1
32,12269,no,no,1
40,1126,yes,no,4
29,105,yes,no,1
38,-650,no,no,1
37,117,yes,no,3
22,118,yes,no,1
23,178,yes,no,1
30,299,yes,no,17
27,0,yes,no,1
31,5,no,no,1
26,65,no,no,3
36,246,yes,no,2
29,1166,yes,no,1
37,49,yes,no,2
39,95,yes,no,1
38,113,yes,no,2
27,554,yes,no,1
58,269,yes,no,2
36,63,yes,no,2
24,-248,yes,no,1
25,32,yes,no,1
43,452,yes,no,2
38,467,yes,no,1
40,1758,yes,no,3
33,-416,yes,no,2
35,523,yes,yes,1
46,2499,yes,no,3
30,236,yes,no,1
24,3926,yes,no,2
24,409,yes,no,1
45,876,no,no,1
45,1163,no,no,1
53,708,yes,no,3
34,586,yes,no,2
24,656,yes,no,1
57,260,yes,no,3
55,571,yes,no,4
52,36,yes,no,1
54,0,yes,no,1
29,-63,yes,no,3
23,91,yes,no,2
24,0,no,no,1
59,169,yes,no,3
37,2188,no,no,8
40,2073,yes,no,2
54,29887,yes,no,1
35,53,yes,no,2
56,82,no,no,1
28,58,no,no,2
32,916,yes,no,2
40,37,yes,no,1
32,100,yes,no,2
41,124,yes,no,2
55,19,yes,no,3
52,420,no,no,4
58,906,yes,yes,3
29,0,yes,yes,4
44,532,no,no,2
53,634,yes,no,2
44,0,yes,yes,2
41,338,yes,no,1
44,0,yes,yes,1
38,2724,yes,no,4
27,-98,yes,yes,2
44,73,yes,no,1
45,636,yes,no,4
30,132,yes,no,1
47,282,yes,no,1
54,3343,yes,yes,1
29,-166,yes,no,2
50,363,yes,no,1
32,29,no,no,13
57,-524,yes,no,4
51,1194,yes,no,3
32,422,yes,no,2
27,3706,yes,no,1
41,356,yes,no,2
53,31,yes,no,2
29,272,yes,no,3
28,103,yes,no,2
27,-308,yes,no,16
49,16,yes,no,11
44,1485,yes,no,1
32,1,yes,yes,2
56,4391,yes,no,1
34,85,no,no,1
43,822,yes,no,1
41,647,yes,no,1
41,223,yes,no,1
47,242,yes,no,4
33,64,no,no,3
47,2597,yes,no,1
46,770,yes,no,1
46,4956,yes,no,1
30,122,yes,no,1
41,28,no,no,1
30,1011,yes,no,1
56,4166,yes,no,1
40,6110,yes,no,1
47,837,yes,yes,1
36,146,yes,no,3
60,458,yes,no,1
34,641,yes,yes,1
44,1310,yes,no,1
29,782,yes,no,1
48,478,yes,yes,2
55,-45,yes,no,7
60,36,yes,no,3
29,0,no,no,25
30,136,yes,yes,5
35,8,yes,no,18
37,934,yes,no,3
42,314,yes,yes,2
34,978,yes,no,2
50,567,yes,no,8
27,194,yes,no,1
45,4537,yes,no,2
50,318,yes,no,2
43,17,yes,no,4
32,715,yes,yes,15
55,1464,yes,no,1
40,-61,yes,yes,9
56,1297,yes,no,1
21,325,yes,no,1
27,276,no,no,2
24,770,yes,no,1
25,2,yes,yes,2
41,208,yes,no,3
49,495,yes,no,5
44,2185,yes,no,1
42,351,yes,no,21
45,71,yes,no,2
48,1155,yes,no,4
51,349,yes,no,3
33,153,yes,no,2
32,244,yes,no,2
41,493,yes,no,3
29,62,yes,yes,2
49,874,yes,no,2
49,259,no,no,2
25,304,no,no,3
33,371,yes,no,3
50,231,yes,no,4
50,1906,no,no,17
40,192,yes,no,11
32,158,yes,no,4
43,-57,yes,no,2
24,366,no,yes,2
49,327,yes,no,2
36,1125,yes,yes,5
42,642,yes,yes,2
31,-48,yes,no,17
30,298,yes,no,2
46,2207,yes,no,3
35,88,yes,no,4
44,2687,yes,no,4
33,307,no,no,4
42,398,yes,no,4
39,-388,yes,no,2
41,1649,yes,no,3
58,886,no,no,4
40,1161,yes,yes,8
37,281,yes,no,2
45,137,yes,yes,19
49,267,yes,no,5
35,767,yes,no,2
28,1112,yes,no,2
32,192,yes,no,5
45,1113,yes,no,2
44,696,yes,no,3
55,-268,yes,no,6
37,197,yes,no,3
28,317,yes,no,3
43,329,yes,no,2
35,510,yes,no,6
30,5,no,no,3
54,4393,yes,no,3
34,488,yes,no,2
30,442,yes,no,3
46,300,yes,no,3
52,1007,yes,no,2
44,195,yes,no,5
36,513,yes,no,3
44,399,yes,no,9
44,12,yes,no,10
24,77,yes,no,2
56,8318,yes,no,2
41,-104,yes,no,3
51,0,yes,no,19
53,2,yes,no,2
41,0,yes,no,5
26,-579,yes,no,3
53,2884,yes,no,4
30,863,yes,no,5
27,56,yes,no,2
32,358,yes,no,3
40,0,yes,no,2
55,2055,yes,no,4
35,568,yes,no,2
32,0,yes,yes,7
57,97,yes,no,6
32,217,yes,no,3
55,0,no,no,3
43,3608,yes,no,6
42,388,yes,yes,2
27,0,yes,no,2
36,279,no,no,6
32,193,yes,no,4
53,751,yes,no,4
34,305,yes,no,25
23,105,yes,no,2
31,548,yes,no,4
46,271,yes,no,4
31,246,yes,no,2
42,1932,yes,no,32
52,1066,yes,no,3
38,-326,yes,no,3
38,1465,yes,no,2
60,26,yes,no,6
42,10561,no,no,2
30,68,yes,yes,2
53,647,yes,no,6
35,368,yes,no,3
45,-183,yes,no,3
57,70,yes,yes,5
41,141,yes,no,4
44,75,no,no,3
56,22,yes,no,7
46,9,no,no,4
34,695,yes,yes,4
51,83,yes,no,4
27,-20,no,no,6
31,532,yes,no,7
51,0,yes,no,5
25,99,yes,yes,4
48,54,yes,no,7
37,792,yes,no,4
35,378,yes,no,3
58,8014,yes,no,3
47,584,yes,no,19
58,331,yes,no,4
36,122,yes,no,7
38,660,yes,yes,2
27,276,yes,no,2
44,-14,yes,yes,4
47,15,yes,no,2
26,-326,yes,no,3
29,2099,yes,yes,2
60,2589,yes,no,2
37,654,no,no,2
35,474,yes,no,3
44,294,yes,no,2
50,-6,yes,no,2
41,865,no,yes,5
26,379,yes,yes,3
43,8167,yes,no,2
46,357,yes,yes,2
54,2431,yes,no,4
46,1497,yes,no,6
46,7934,yes,no,1
55,1261,no,no,1
45,1124,yes,no,1
58,196,yes,no,1
48,-471,yes,no,7
38,497,yes,yes,5
57,1920,no,no,2
54,8180,no,no,1
40,2784,yes,no,1
44,556,no,no,3
55,517,yes,yes,4
40,-154,yes,yes,1
42,0,no,no,2
48,522,yes,no,1
52,-342,no,no,1
31,43,yes,no,3
60,12210,yes,no,1
51,8806,yes,no,1
50,2402,yes,no,1
44,-848,yes,no,1
33,0,no,no,2
43,674,yes,yes,1
46,778,yes,no,1
43,384,yes,yes,3
50,256,yes,no,2
41,1020,yes,no,1
50,1463,yes,no,1
50,761,yes,no,1
40,1380,yes,no,1
30,71,yes,no,6
44,-1249,yes,yes,4
51,4089,yes,no,1
40,3736,yes,no,3
38,2407,yes,no,1
52,1781,yes,no,2
49,4667,yes,no,2
44,2,yes,no,1
39,259,yes,no,1
43,445,yes,no,2
32,132,yes,yes,2
55,2,yes,no,1
55,283,yes,no,1
42,830,yes,no,1
26,75,yes,yes,1
54,158,yes,no,1
34,46,yes,yes,1
46,4301,yes,yes,2
25,815,yes,no,6
49,128,yes,no,1
59,457,yes,no,1
57,0,no,no,1
27,374,yes,no,2
38,3259,yes,no,1
41,-19,yes,no,1
56,316,yes,no,1
37,398,yes,no,1
32,2996,yes,no,1
47,292,yes,no,3
57,5431,yes,no,2
38,323,yes,no,1
30,1312,yes,no,2
43,953,yes,no,1
35,5,no,no,3
28,213,yes,no,1
38,976,yes,yes,2
45,970,yes,no,5
31,87,yes,no,3
38,59,yes,no,1
28,80,yes,no,1
40,3444,yes,no,4
30,12697,yes,yes,1
47,863,yes,no,2
27,0,yes,no,1
30,18,no,no,1
53,33,yes,no,12
48,281,yes,no,3
35,-206,yes,no,4
38,36,yes,no,1
32,1879,no,no,1
53,10,yes,no,1
25,77,yes,no,1
45,369,yes,no,2
28,43,no,no,1
30,392,yes,no,1
31,0,no,no,1
42,14752,no,no,2
60,738,no,no,3
28,836,yes,no,1
46,2851,yes,no,2
40,296,no,no,1
32,1076,yes,no,1
56,25,yes,no,1
20,-172,yes,yes,3
41,197,yes,no,1
48,5057,yes,no,2
49,284,yes,no,1
29,1012,yes,no,3
57,4378,yes,no,3
49,2718,no,no,2
42,103,yes,no,5
28,1827,yes,no,2
31,41,yes,no,1
26,484,yes,no,2
29,146,yes,no,2
26,3,yes,no,1
31,259,yes,no,1
38,830,yes,no,2
45,242,yes,no,1
24,0,yes,no,1
31,6042,yes,no,1
40,-341,yes,no,1
34,221,yes,no,1
24,-46,yes,no,1
26,-5,no,no,1
29,617,yes,no,1
30,134,yes,no,1
61,625,yes,no,2
26,775,no,no,3
31,221,yes,no,3
28,-31,yes,no,1
31,97,yes,no,1
52,81,yes,no,3
30,16,yes,no,5
32,144,yes,no,11
38,889,no,no,4
40,-481,yes,yes,2
38,680,yes,no,2
54,-754,yes,no,2
42,2993,yes,no,2
34,501,yes,no,12
42,365,yes,no,2
54,477,yes,no,4
27,72,yes,no,1
31,2085,yes,yes,3
34,705,yes,yes,3
31,754,yes,no,4
27,512,yes,no,1
25,300,yes,yes,3
20,67,yes,no,1
54,912,yes,no,1
30,0,yes,no,1
33,86,yes,no,1
22,0,yes,no,1
36,79,yes,no,14
44,87,yes,no,3
43,3196,yes,yes,3
44,181,yes,no,6
49,354,yes,no,3
27,220,yes,no,1
45,2128,yes,no,4
41,4357,yes,no,1
28,1306,yes,no,3
51,425,yes,no,3
49,68,yes,yes,3
42,1990,yes,yes,1
55,978,yes,no,1
41,0,yes,yes,1
51,824,no,no,2
46,679,yes,no,1
41,262,yes,no,1
32,86,no,yes,1
43,1017,yes,no,2
48,456,yes,yes,1
52,6353,yes,yes,2
29,103,no,no,1
51,467,yes,no,1
48,841,yes,no,1
34,0,yes,no,4
52,-346,yes,yes,3
31,157,yes,no,1
41,459,yes,no,1
40,464,yes,yes,7
51,2085,yes,no,1
42,1323,yes,no,1
31,75,yes,no,1
34,-288,yes,no,1
41,713,yes,no,1
43,1071,yes,no,1
54,887,yes,no,1
47,-288,no,no,6
41,3722,yes,no,2
40,3,yes,yes,1
23,85,yes,no,2
48,6489,yes,no,1
36,3457,no,no,4
44,409,yes,no,1
31,396,yes,no,1
32,101,yes,no,4
49,402,yes,no,1
23,525,yes,no,1
41,3855,yes,no,2
52,157,yes,yes,2
41,1897,yes,no,3
22,36,yes,no,3
60,171,yes,no,2
60,148,yes,no,1
35,208,yes,no,1
49,1536,yes,no,2
32,476,yes,yes,2
45,42,yes,no,5
29,-233,yes,no,1
45,1540,yes,no,3
28,3238,yes,no,1
21,210,yes,no,1
31,1629,yes,no,2
27,112,yes,no,1
43,1040,yes,no,3
24,76,yes,no,1
28,362,yes,no,1
42,1116,yes,no,6
40,-365,yes,no,43
42,2567,yes,no,2
31,19,yes,no,5
47,146,yes,yes,5
40,125,yes,no,2
31,47,yes,no,9
26,0,yes,no,3
52,0,no,no,11
31,462,yes,yes,1
44,4087,yes,no,5
27,16,no,no,1
41,665,yes,no,3
28,471,yes,yes,2
27,613,yes,no,3
34,645,yes,no,1
44,1087,yes,no,2
36,2079,yes,yes,2
37,1633,yes,no,3
27,1022,yes,no,2
32,1211,yes,no,4
31,9714,yes,no,2
51,642,no,no,2
47,1851,yes,no,2
23,405,yes,no,3
30,358,yes,no,51
50,170,yes,yes,13
52,2420,yes,no,3
34,1484,yes,no,5
28,422,yes,no,2
28,350,yes,yes,2
57,919,yes,yes,2
31,444,yes,no,2
35,1253,yes,no,2
49,320,yes,yes,6
32,1066,yes,no,9
28,-134,yes,no,2
51,1146,yes,yes,4
32,424,yes,no,2
37,122,yes,no,2
55,212,yes,no,2
27,5,yes,no,3
49,580,no,no,2
22,3992,yes,yes,2
36,141,yes,no,5
46,361,yes,no,7
57,8195,yes,no,2
55,3524,yes,no,6
34,1710,yes,yes,3
44,177,yes,no,4
45,199,no,no,5
30,0,no,no,3
30,880,yes,yes,6
45,771,yes,no,2
34,164,yes,no,13
41,501,yes,no,5
45,9051,yes,no,63
46,103,no,no,5
37,89,yes,no,10
45,4111,yes,no,2
42,170,yes,no,41
49,1854,yes,no,5
54,233,yes,no,3
60,819,yes,no,2
24,1019,yes,no,26
43,1147,yes,yes,7
49,279,yes,no,4
45,1263,yes,no,3
54,7449,yes,no,7
39,198,yes,no,8
23,710,yes,no,6
48,858,yes,no,4
38,1344,yes,yes,2
44,149,yes,no,10
53,208,yes,no,9
28,224,yes,no,5
38,91,yes,no,9
27,-3,yes,no,5
25,316,yes,yes,2
35,846,yes,yes,2
31,352,yes,no,9
40,-22,yes,no,3
27,4923,yes,no,7
53,6,no,no,11
32,312,yes,yes,3
37,61,yes,no,8
37,53,yes,no,4
47,-345,yes,no,14
36,0,yes,no,11
52,2231,yes,yes,4
52,337,yes,no,3
50,413,yes,no,2
45,1345,yes,no,7
52,522,yes,no,2
23,523,yes,yes,2
44,261,yes,no,5
27,3776,yes,no,2
57,437,yes,no,4
48,490,yes,no,2
51,6482,yes,no,2
53,3544,no,no,4
46,0,no,no,2
49,459,yes,no,10
30,3291,yes,no,3
41,2592,yes,no,3
42,596,yes,no,9
34,-56,yes,no,3
44,1161,yes,no,5
34,183,yes,no,4
28,154,yes,no,9
31,0,yes,no,1
48,479,no,no,5
38,-980,yes,no,1
38,690,yes,no,1
32,5306,yes,no,1
33,730,yes,no,1
41,397,yes,no,15
33,434,yes,no,1
37,897,no,no,1
55,0,yes,no,4
32,228,yes,no,1
33,201,yes,no,1
54,2847,yes,no,10
39,4039,yes,no,1
60,132,yes,no,11
30,9,yes,no,1
34,31,yes,no,14
57,0,yes,yes,2
36,4438,yes,no,1
39,6421,no,yes,1
38,171,yes,yes,1
37,42,yes,yes,4
36,806,yes,no,1
39,298,yes,no,1
35,24,yes,no,1
47,290,yes,no,2
37,425,yes,no,1
39,0,yes,no,1
35,1602,yes,yes,1
32,137,yes,no,12
30,3110,yes,no,1
38,419,yes,no,1
35,0,yes,no,1
31,-88,yes,no,6
35,274,yes,yes,1
38,0,yes,no,1
34,0,yes,no,1
30,162,yes,no,4
31,1222,yes,no,1
54,4482,yes,no,2
40,1259,no,no,5
35,499,yes,no,1
35,1861,yes,no,1
29,271,yes,no,2
33,622,yes,no,1
31,368,yes,no,1
51,492,yes,no,3
35,102,yes,no,1
38,736,yes,no,1
36,733,yes,no,1
37,3175,yes,no,1
29,43,yes,no,2
53,574,yes,no,2
34,4622,yes,yes,1
31,1820,yes,no,1
38,3750,yes,no,1
36,465,yes,no,1
36,860,yes,no,15
32,1583,yes,no,1
38,0,yes,no,1
36,7579,yes,no,1
35,4635,yes,no,1
31,827,no,no,1
32,0,yes,no,1
32,364,yes,no,1
36,380,yes,no,1
32,93,yes,no,2
33,6138,yes,no,1
30,1803,yes,no,1
39,0,yes,no,2
35,3187,yes,no,1
31,2,yes,no,2
30,695,yes,no,1
34,1042,yes,no,1
30,4648,yes,no,1
31,2089,yes,no,1
39,3059,yes,yes,1
36,412,yes,yes,1
32,863,yes,no,1
33,4434,yes,no,1
33,5499,yes,no,1
34,3997,yes,no,1
39,4904,yes,no,1
35,440,yes,no,1
60,-14,yes,no,3
34,759,no,no,1
33,603,yes,no,1
59,-41,yes,yes,1
31,78,no,no,1
36,84,yes,no,1
36,409,yes,no,1
38,732,yes,yes,1
32,328,yes,no,1
32,1698,yes,no,1
39,9374,yes,no,1
39,439,no,no,1
33,4958,yes,no,1
23,210,yes,no,1
39,2644,yes,no,1
36,17983,yes,no,1
38,614,yes,no,1
35,2137,yes,no,1
27,-291,yes,no,2
31,160,yes,yes,2
58,11,yes,no,1
34,2036,yes,yes,1
31,121,yes,no,1
36,-656,yes,no,2
34,1689,no,no,1
37,439,yes,no,2
37,1283,yes,no,1
33,1769,yes,no,1
33,2,yes,no,1
39,0,yes,yes,1
35,47,no,no,1
35,2054,yes,no,1
34,8132,yes,no,1
39,453,yes,yes,1
37,427,yes,no,1
42,2416,yes,no,4
40,877,yes,no,6
37,398,yes,yes,1
37,2240,yes,no,1
36,380,yes,no,1
35,1163,yes,no,1
35,4170,yes,no,1
37,5432,yes,yes,1
35,-52,yes,no,1
30,4011,yes,no,1
37,715,yes,no,2
31,2144,yes,no,1
56,8741,yes,no,3
37,362,yes,no,2
33,163,yes,no,1
40,-740,yes,no,3
38,434,yes,no,1
41,1629,yes,no,1
38,-152,no,no,1
36,3763,yes,no,1
31,1,yes,no,3
31,4,no,no,4
52,0,yes,yes,1
31,2007,yes,no,1
39,327,yes,no,1
35,-130,yes,no,1
22,14,yes,yes,1
38,4399,yes,no,2
39,780,yes,no,1
34,371,no,no,1
34,161,yes,yes,1
36,221,yes,no,1
32,706,yes,no,1
33,4897,yes,no,1
33,7,yes,no,1
36,2030,yes,no,1
32,489,yes,no,1
42,1059,yes,no,2
43,-8,yes,no,2
35,271,yes,no,1
37,2042,yes,no,1
33,-53,yes,no,1
26,268,yes,no,2
37,5122,yes,no,1
33,403,yes,no,2
40,0,yes,no,2
36,566,yes,no,2
35,356,yes,yes,2
36,722,yes,no,2
39,-607,yes,no,2
60,328,yes,no,5
34,126,yes,no,2
32,206,yes,no,2
33,136,yes,yes,6
59,14,yes,yes,1
35,5260,yes,no,2
34,458,yes,no,1
42,0,no,no,12
38,666,yes,no,10
33,89,yes,no,1
32,1660,no,no,1
30,673,yes,no,2
34,673,yes,yes,1
59,-313,yes,no,1
32,0,yes,no,2
54,167,yes,no,7
48,432,yes,no,2
36,8135,yes,no,1
29,0,yes,no,9
39,4286,yes,no,2
54,2177,no,no,5
36,0,no,no,1
33,105,yes,yes,1
32,1271,yes,no,1
41,83,no,no,6
34,709,yes,no,1
34,-93,yes,yes,1
53,736,yes,no,1
38,-242,yes,yes,2
33,3259,yes,no,1
32,11697,yes,no,1
33,210,yes,yes,1
35,2688,yes,no,1
34,0,yes,no,1
37,5064,yes,no,1
38,205,yes,no,2
39,75,yes,no,2
43,0,yes,no,1
39,2019,yes,no,1
38,178,yes,no,1
40,3559,yes,no,8
38,290,yes,no,1
32,138,yes,yes,1
31,5607,no,no,1
32,8291,no,no,1
37,6969,yes,no,1
30,18,no,no,11
46,583,yes,no,2
36,7171,yes,no,2
34,500,yes,no,1
32,113,yes,yes,2
34,0,yes,yes,1
33,3512,yes,no,2
37,4798,yes,no,2
34,85,yes,no,4
37,660,yes,yes,2
31,585,yes,yes,2
47,136,yes,no,1
36,360,yes,no,1
31,296,yes,no,3
33,0,yes,yes,1
33,10,yes,yes,1
39,451,yes,no,1
37,614,yes,no,1
34,692,yes,no,1
33,148,no,no,1
31,5058,yes,no,1
33,1467,yes,no,2
30,859,yes,no,3
34,-508,yes,no,2
31,410,yes,no,2
36,134,no,no,1
37,23867,no,no,3
31,2038,yes,no,1
39,-362,yes,no,2
34,967,yes,no,2
43,1825,yes,no,2
43,-635,yes,no,9
34,1298,yes,no,1
36,1797,yes,yes,2
55,1848,yes,no,1
31,431,yes,yes,1
32,4996,yes,no,2
31,213,yes,no,2
31,26,yes,no,26
33,0,no,no,2
32,1351,yes,no,3
44,982,yes,no,3
33,4963,yes,no,2
39,1438,yes,no,2
39,1411,yes,no,2
33,0,yes,no,3
40,486,yes,no,8
34,1183,yes,no,2
39,351,yes,no,3
32,2366,yes,no,2
34,2700,yes,no,2
59,0,yes,no,4
39,622,yes,no,1
34,421,yes,no,3
36,774,yes,no,1
35,67,no,no,6
39,7313,yes,no,1
57,231,yes,no,14
46,477,yes,no,6
58,99,yes,no,3
32,908,yes,no,1
34,1581,yes,yes,11
35,2012,yes,no,2
36,162,yes,no,2
40,917,yes,no,1
44,1422,yes,no,8
31,1787,yes,no,4
55,-196,yes,no,2
35,1387,yes,no,1
31,-63,yes,no,1
35,1423,yes,no,1
36,3127,yes,no,2
36,5436,yes,no,1
30,1724,yes,no,1
31,0,yes,no,1
41,804,yes,no,8
36,408,yes,yes,2
59,705,yes,no,2
36,1373,yes,no,2
32,196,yes,no,6
39,0,yes,no,2
38,273,yes,no,2
40,311,yes,no,2
39,1022,yes,no,2
30,862,yes,yes,2
38,173,yes,no,2
32,204,yes,yes,3
37,32,yes,no,2
31,4761,yes,no,2
44,1081,yes,no,2
45,4170,yes,yes,3
36,3111,yes,no,2
27,89,yes,no,5
27,317,yes,no,10
48,5058,no,no,4
41,2852,yes,no,3
36,2390,yes,no,12
32,1131,yes,no,2
31,1352,yes,no,2
43,520,yes,no,13
33,876,no,no,2
31,855,yes,yes,4
35,-202,yes,no,3
27,-215,yes,no,3
32,376,yes,no,2
58,23,yes,no,6
40,222,yes,no,8
36,362,yes,no,2
39,602,yes,no,7
37,426,yes,no,3
30,5143,yes,yes,2
32,80,yes,no,2
52,0,yes,no,5
32,7406,yes,no,2
33,1005,yes,no,2
39,226,yes,no,2
39,247,yes,no,2
34,1040,yes,no,2
29,68,no,no,3
36,183,yes,no,3
35,4822,yes,no,2
49,0,yes,no,2
31,1097,yes,no,3
39,5731,yes,no,2
32,3067,yes,no,2
35,275,yes,no,2
38,526,yes,no,2
34,1831,yes,no,2
35,514,yes,no,2
34,50,yes,no,2
34,0,yes,no,12
27,8,yes,no,3
30,432,yes,no,3
32,2561,yes,no,2
30,659,yes,no,3
38,0,yes,yes,2
31,897,yes,no,2
23,-116,yes,no,6
30,142,yes,no,4
56,530,yes,no,7
32,3514,yes,no,2
35,190,yes,no,3
40,236,yes,no,2
57,-871,no,no,10
58,2429,no,yes,7
32,514,yes,no,2
38,565,yes,no,2
50,2610,yes,yes,6
30,178,yes,no,5
34,1117,yes,no,1
30,4,yes,no,1
38,124,yes,no,13
55,2144,yes,no,8
31,1025,no,no,3
41,1250,yes,no,2
38,28,no,no,1
49,543,yes,no,3
26,972,yes,no,10
60,674,yes,no,4
57,258,yes,no,4
37,3044,yes,no,1
39,-197,yes,no,2
39,1096,no,no,3
57,739,yes,no,5
35,274,yes,no,1
30,1445,yes,no,1
31,3311,yes,no,1
32,157,yes,no,1
30,347,yes,no,1
32,-345,yes,no,1
36,8119,no,no,1
34,120,yes,no,1
39,5,yes,no,1
42,2309,yes,no,3
33,892,yes,no,1
32,641,yes,no,1
35,2730,yes,no,1
38,1663,yes,no,1
39,1966,yes,no,1
54,6102,yes,yes,6
38,1092,yes,no,1
33,1349,yes,no,1
34,2015,no,no,1
32,2146,yes,no,2
32,2976,yes,no,1
37,3834,yes,no,1
36,393,yes,yes,1
32,-457,yes,yes,1
34,0,no,yes,1
34,363,no,no,5
39,4025,yes,yes,1
42,714,yes,no,28
33,438,yes,yes,1
40,858,yes,no,1
35,592,yes,no,1
38,-224,yes,yes,1
39,151,yes,no,1
31,289,yes,no,2
38,821,yes,yes,1
58,8153,yes,no,5
33,57,yes,yes,1
34,558,yes,no,1
34,1701,yes,no,1
37,-898,yes,no,1
38,1073,yes,no,2
34,5754,yes,no,1
34,-167,yes,no,1
39,4146,yes,yes,1
35,-15,yes,no,3
36,3954,yes,no,1
31,8629,yes,no,2
30,1168,yes,yes,1
35,498,yes,no,1
35,0,no,no,1
31,216,yes,no,1
38,1746,yes,no,1
36,1053,yes,no,1
36,687,yes,no,3
33,2764,yes,no,1
34,1207,yes,no,1
32,0,yes,no,1
39,528,yes,no,5
33,3090,yes,no,1
38,-530,yes,no,1
41,666,yes,no,3
38,0,yes,no,1
35,470,yes,no,1
39,597,yes,no,2
40,1136,yes,no,1
38,620,yes,yes,1
33,17,yes,no,1
34,12,no,no,1
28,135,yes,no,1
36,5024,no,no,1
34,1161,yes,no,1
39,3528,yes,no,1
32,791,yes,no,2
38,546,yes,no,2
39,804,yes,no,1
30,908,yes,no,1
31,6982,yes,no,1
37,1176,no,yes,2
36,0,no,no,1
34,528,yes,no,1
37,734,yes,no,1
31,109,yes,no,1
48,4746,yes,no,11
31,11512,yes,no,1
34,0,yes,no,5
36,115,no,no,1
36,808,no,no,1
35,-289,yes,no,1
35,35368,yes,no,1
33,189,no,no,10
26,0,yes,no,1
37,1110,yes,no,2
32,102,yes,no,11
33,56,yes,no,1
34,405,yes,no,1
36,873,yes,no,1
36,656,no,no,1
41,2490,yes,no,2
33,1437,yes,no,1
35,6659,yes,no,1
30,1126,yes,no,1
34,3773,yes,no,1
34,1129,yes,no,2
36,849,yes,yes,2
30,675,yes,no,1
36,98,yes,no,1
31,1914,yes,no,1
34,1270,yes,no,3
30,-98,yes,no,7
33,256,yes,no,2
31,435,yes,no,1
37,7005,yes,no,1
38,471,yes,no,1
33,467,yes,no,2
32,323,yes,no,2
34,0,yes,no,1
31,1343,yes,yes,1
51,44,no,no,2
30,453,yes,no,2
35,350,yes,no,1
32,2693,yes,no,1
31,1243,yes,no,1
34,883,yes,no,1
33,599,yes,no,1
31,3176,yes,no,1
33,49,no,no,1
36,3202,yes,no,2
33,2660,yes,no,1
59,41,yes,yes,3
35,-557,yes,yes,1
33,741,no,no,1
32,930,yes,no,1
23,9,yes,no,1
33,1624,yes,yes,2
30,239,yes,no,1
31,626,yes,no,1
25,-268,yes,no,1
37,178,yes,no,1
34,1671,no,no,1
29,-300,no,no,1
35,1362,yes,no,1
31,2287,yes,no,1
33,141,yes,no,2
31,4315,yes,no,1
28,-70,yes,yes,1
33,1630,yes,no,1
35,569,yes,no,5
34,0,yes,no,1
30,546,yes,no,1
32,287,yes,no,8
37,-954,yes,no,3
35,280,yes,no,1
57,1408,no,no,6
37,1211,yes,no,1
27,1600,yes,no,1
39,774,yes,no,1
33,188,yes,no,1
34,1157,yes,no,2
40,1066,yes,no,1
31,932,yes,no,2
32,557,yes,no,2
31,1260,no,yes,1
35,1045,yes,no,1
38,350,yes,no,1
48,-136,yes,no,12
37,405,yes,no,2
45,373,yes,no,7
27,0,yes,no,1
33,2228,yes,no,1
31,58,yes,no,1
33,932,yes,no,1
36,-872,yes,yes,1
37,1450,yes,yes,1
37,2032,yes,no,2
32,0,yes,no,2
30,1380,yes,no,2
37,5729,yes,no,3
34,951,yes,no,1
54,487,yes,no,4
36,957,yes,no,1
39,855,yes,no,2
36,502,yes,no,1
37,204,yes,no,4
49,2262,yes,no,3
31,8784,yes,no,2
36,599,yes,no,2
31,525,yes,yes,1
29,688,yes,no,1
34,1350,yes,no,1
32,1830,yes,no,1
31,1887,no,yes,1
37,13156,yes,no,1
34,622,yes,no,1
35,1336,no,no,2
32,1067,yes,no,2
35,12961,yes,no,2
31,141,yes,no,2
41,1216,yes,no,3
31,891,yes,no,3
32,131,yes,no,2
33,5,no,no,2
52,289,yes,no,13
32,15341,no,no,3
32,901,yes,no,3
32,4465,yes,no,2
34,1191,yes,no,2
35,458,yes,no,3
36,1869,yes,no,2
37,2084,yes,no,2
32,1389,yes,no,2
34,0,yes,no,2
27,1303,yes,yes,1
33,11149,yes,no,2
36,-35,yes,yes,2
37,3242,yes,no,1
32,435,yes,no,2
32,2696,yes,no,1
29,0,no,no,1
34,218,yes,yes,1
33,892,yes,no,1
31,1410,yes,no,1
32,1721,yes,no,2
31,1583,yes,no,1
33,296,yes,no,1
38,216,yes,no,1
35,463,yes,no,1
37,547,yes,yes,1
42,2974,yes,no,5
34,-370,yes,no,1
32,6217,yes,yes,2
28,170,yes,yes,1
29,-559,yes,yes,1
21,232,yes,no,2
31,385,yes,no,1
